"severity","dimension","code","name","stage","detail"
"debt","deepVerification.notApproved","2206","江崎グリコ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2207","ｍｅｉｔｏ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2208","ブルボン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2209","井村屋グループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","220A","Ｆａｂｅｒ Ｃｏｍｐａｎｙ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2211","不二家","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2212","山崎製パン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2215","第一屋製パン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2216","カンロ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2217","モロゾフ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2220","亀田製菓","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2221","岩塚製菓","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2222","寿スピリッツ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2224","コモ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2226","湖池屋","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2229","カルビー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2264","森永乳業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2266","六甲バター","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2267","ヤクルト本社","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2268","Ｂ－Ｒ サーティワン アイスクリーム","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2269","明治ホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2270","雪印メグミルク","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2281","プリマハム","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2282","日本ハム","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2286","林兼産業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2288","丸大食品","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","228A","オプロ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2291","福留ハム","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2292","Ｓ Ｆｏｏｄｓ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2293","滝沢ハム","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2294","柿安本店","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2296","伊藤ハム米久ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2300","きょくとう","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2301","学情","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2303","ドーン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2304","ＣＳＳホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2305","スタジオアリス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2307","クロスキャット","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2311","エプコ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2315","ＣＡＩＣＡ ＤＩＧＩＴＡＬ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2317","システナ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2321","ソフトフロントホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2323","ｆｏｎｆｕｎ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2325","ＮＪＳ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2326","デジタルアーツ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2327","日鉄ソリューションズ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2329","東北新社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2330","フォーサイド","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2331","ＡＬＳＯＫ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2332","クエスト","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2334","イオレ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2335","キューブシステム","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2337","いちご","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2338","クオンタムソリューションズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2340","極楽湯ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2341","アルバイトタイムス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2342","トランスジェニックグループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2345","ＨＯＤＬ１","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2349","エヌアイデイ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2351","ＡＳＪ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2353","日本駐車場開発","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2354","ＹＥ ＤＩＧＩＴＡＬ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2359","コア","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2370","メディネット","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2371","カカクコム","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2373","ケア２１","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2375","ギグワークス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2376","サイネックス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2378","ルネサンス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2379","ディップ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2384","ＳＢＳホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2385","総医研ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2388","ウェッジホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2391","プラネット","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2393","日本ケアサプライ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2395","新日本科学","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2404","鉄人化ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2408","ＫＧ情報","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2410","キャリアデザインセンター","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2411","ゲンダイエージェンシー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2413","エムスリー","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2415","ヒューマンホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2418","ツカダ・グローバルホールディング","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","241A","ＲＯＸＸ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2424","ブラス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2425","ケアサービス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2428","ウェルネット","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2429","ワールドホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2432","ディー・エヌ・エー","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2433","博報堂ＤＹホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","2435","シダー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2436","共同ピーアール","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2437","Ｓｈｉｎｗａ Ｗｉｓｅ Ｈｏｌｄｉｎｇｓ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","2438","アスカネット","core","status=not_started, stars=2"
